_RAJ2000;_DEJ2000;HIP;Vmag;Plx;BTmag;VTmag;SpType
deg;deg; ;mag;mas;mag;mag;
----------;----------;------;-----;-------;------;------;------------
  0,248017;-10,935964;    82; 9,50;   1,82;10,822; 9,582;G5
  0,248073; 52,080562;    83; 8,85;   2,28;11,067; 9,028;M0
  0,252427; 27,886330;    84; 9,61;  18,90;10,686; 9,700;K0
  0,256137;-24,714048;    85;10,62;   3,90;11,012;10,593;A2
  0,260463; 69,603505;    86; 8,05;   3,47; 8,067; 8,053;B9
  0,261496; -5,835002;    87; 7,80;   4,52; 8,301; 7,843;F5
  0,269093;-48,809876;    88; 5,71;   5,97; 6,863; 5,807;G8III
  0,277155; 53,166943;    89; 7,87;   2,60; 9,943; 8,058;K2
  0,280082;-41,887544;    90; 7,64;   9,35; 8,206; 7,697;F5IV/V
  0,280531; -5,874348;    91; 7,66;   4,21; 9,353; 7,804;K0
  0,290697;-20,705550;    92; 8,68;   4,77; 9,866; 8,774;G8III
  0,292356; -0,076098;    93; 8,12;  16,74; 8,855; 8,202;F8V
  0,294998;-32,756837;    94;10,10;  10,48;10,798;10,099;G2
  0,302014;-11,964034;    95; 8,67;   7,85; 9,263; 8,724;F5V
  0,304945; 13,975088;    96;10,46;  19,83;11,875;10,693;M0
  0,307170;-52,798575;    98; 9,87;   6,49;10,503; 9,914;F6/F7V
  0,307381;-21,404042;    97; 9,48;   5,52;10,082; 9,521;F5V
  0,316063; 60,355282;    99; 7,04;   1,27;11,006; 7,383;C5p
  0,316376; 19,741243;   100; 8,44;   4,49; 9,525; 8,540;G0
  0,319710;-47,793831;   101; 9,88;   7,35;10,434; 9,891;F5IV/V
  0,320488;-41,487437;   102; 7,05;   3,00; 9,095; 7,232;M1III
  0,322075;-68,371127;   103; 8,29;   9,15; 8,919; 8,347;F6V
  0,326624;-31,899619;   104; 9,34;   8,16; 9,982; 9,404;F7V
  0,327808; 70,928938;   105; 7,73;   4,44; 8,237; 7,774;F0
  0,330215; 49,981558;   106; 6,22;   4,50; 7,453; 6,326;G7II-III
  0,333830;-50,337373;   107; 5,53;   5,84; 7,626; 5,722;M2III
  0,336644;-70,125272;   108; 8,53;   0,30;10,231; 8,664;K3II/III
  0,346594;  6,791470;   109; 7,23;   5,33; 7,664; 7,252;F0
  0,348614; 39,610717;   110; 8,61;  20,42; 9,831; 8,887;G5
  0,349847; 34,281848;   111;11,28;  27,11;      ;      ;M2
  0,357676;-16,948446;   112;10,76;  31,35;      ;      ;M1,5V:
  0,365620; 49,010406;   113; 8,93;   0,27; 8,955; 8,937;A0
  0,371647; 30,735785;   114; 7,95;   9,93; 8,830; 8,091;G0IV
  0,372585;-62,923130;   115; 7,46;   4,73; 7,638; 7,471;A2IV
  0,375323;-33,792771;   116; 8,60;   8,29; 9,086; 8,639;F3V
  0,380557;-72,605899;   117; 8,55;   0,36; 9,961; 8,677;G8III
  0,386595; -9,430033;   118; 9,20;  12,08; 9,927; 9,274;G0
  0,390166; 44,675401;   119; 6,82;   7,49; 8,186; 6,929;K0
  0,395921;-45,344759;   120; 8,29;   2,83; 9,842; 8,443;K1IIICNIV
  0,396425; 28,423691;   121; 6,83;   3,66; 8,374; 6,967;K2III
  0,398766;-77,065724;   122; 4,78;  14,77; 6,430; 4,928;K2III
  0,399885; 72,236615;   123; 7,21;   5,07; 8,722; 7,341;K0
  0,404231; 61,222801;   124; 5,58;   0,86; 6,049; 5,618;F0III
  0,404670;-39,336748;   125; 8,70;   5,08; 9,127; 8,752;F2V
  0,408827; 14,632324;   126; 8,06;   2,94; 9,290; 8,165;G5
  0,412246;-48,935619;   127;10,86;  11,27;11,895;10,866;
  0,414415; 73,611847;   128; 6,50;  15,20; 6,740; 6,521;Am,,,
  0,415615;  5,372808;   129; 9,32;   6,60; 9,967; 9,395;F8
  0,418298;-30,692537;   130; 9,14;   2,93;10,493; 9,243;K0III
  0,419868; 62,018087;   131; 8,13;   8,11; 8,358; 8,142;A4V
  0,422021;-34,653545;   132;10,62;   1,89;11,020;10,642;F0
  0,423476;-40,148702;   133; 6,62;   3,51; 7,266; 6,682;F5IV
  0,425197; -1,139960;   134; 9,96;   1,30;10,236; 9,958;A0
  0,426796; -0,217777;   135; 8,64;  20,10; 9,393; 8,724;G5
  0,428692; 24,253113;   136; 6,60;   5,84; 8,085; 6,724;K2III-IV
  0,432706; 42,367144;   137; 6,25;   2,45; 6,187; 6,238;B9IIIp Mn
  0,437444;-16,531661;   138; 7,83;   6,34; 9,214; 7,954;K0/K1IV
  0,445270; 67,506975;   139;10,03;   1,62;11,515;10,129;B0
  0,453332;-68,104897;   140; 9,04;   8,98; 9,684; 9,102;F7V
  0,453494; 36,350358;   141; 8,47;   5,61;10,221; 8,609;K5
  0,453777; 66,306032;   142; 7,33;  16,04; 8,222; 7,414;K0
  0,455278; 76,175598;   144; 8,66;   3,57;10,455; 8,825;K5
  0,455647; 21,462503;   143;10,35;  20,05;11,559;10,360;K3
  0,456035; -3,027504;   145; 5,13;   7,98; 4,964; 5,106;B7III-IV
  0,455839;-25,798526;   146; 8,96;   4,39; 9,288; 8,988;A9V
  0,466060; 21,026236;   147; 8,49;  -0,13;10,534; 8,645;K5
  0,477848; 26,004049;   149;11,26;  22,92;      ;      ;K3
  0,478821; 15,528542;   148; 8,15;   4,22; 8,863; 8,235;F8
  0,480305;-37,229953;   150; 7,04;   7,50; 8,422; 7,177;K1III
  0,484419;-28,130948;   152;10,02;   5,10;10,464;10,069;F5
  0,484511; 12,654888;   153; 8,90;   5,54; 9,423; 8,935;F8
  0,484874;-41,613774;   151; 7,78;   7,56; 8,279; 7,824;F3IV,,,
  0,490079; -6,014072;   154; 4,37;   7,86; 6,483; 4,588;M3III
  0,491192; 46,269156;   155; 9,93;   2,28;10,205; 9,907;A2
  0,496930; 63,357826;   156; 8,60;   3,09; 8,698; 8,606;B8V
  0,500424; -5,213925;   157; 8,51;   6,87; 9,661; 8,622;G5
  0,500846;-37,901878;   158; 7,09;   7,03; 8,366; 7,202;K0III
  0,510907; -2,766171;   159; 6,93;  16,92; 7,275; 6,968;A3
  0,511815;-69,269198;   160; 8,68;   2,07; 8,602; 8,649;B9V
  0,512412; 33,695958;   161; 8,98;   2,38;10,906; 9,119;K5
  0,513354; 27,118603;   162; 9,84;   2,71;10,636; 9,941;G0
  0,517190;-30,685228;   163; 8,98;   2,92; 9,102; 8,973;A3V
  0,519136; 59,940102;   164; 7,98;   4,41; 9,176; 8,077;G9III
  0,519733;-22,327487;   165;10,16;  -0,59;10,681;10,203;Ap,,,
  0,521317;-56,514931;   166; 8,86;   9,46; 9,684; 8,947;G3V
  0,527826; 39,183203;   167; 8,58;   3,50; 8,658; 8,573;B9
  0,533429; -2,820072;   168; 9,56;   1,95;10,903; 9,660;R,,,
  0,536383;-68,280769;   169; 9,24;  63,03;10,801; 9,295;M0V
  0,537600;-20,871662;   170; 9,63;   5,96;10,214; 9,680;F5V
  0,542313; 27,082256;   171; 5,80;  80,63;      ;      ;G3V
  0,542871; 67,408952;   172; 9,05;   1,27;10,315; 9,180;O7
  0,549569; 47,577206;   173; 8,45;   1,31; 8,753; 8,493;A2
  0,551641; 59,965338;   174; 8,86;   3,89;10,173; 8,963;G9II-III
  0,552408; 49,771086;   175; 7,84;   3,98; 8,994; 7,929;G5
  0,553399; 44,428262;   176; 8,86;   3,82; 9,498; 8,931;K0
  0,560228;-11,964352;   177; 8,93;   5,47; 9,137; 8,951;A1m,,,
  0,568068;-27,135153;   178; 7,97;   9,02; 8,600; 7,997;F7V
  0,569515;-13,407437;   179; 6,90;  14,91; 7,548; 6,956;G0V
  0,570912; -9,174928;   180; 8,47;   2,80; 9,982; 8,598;K0
  0,573772; 60,703168;   181; 6,77;   2,51; 9,142; 6,975;M0
  0,581195; 52,586407;   182; 8,55;   3,32; 9,829; 8,659;K0
  0,583003;-29,720414;   183; 5,04;   6,40; 4,852; 5,009;B4V
  0,589769; 11,006236;   184; 8,48;  29,75; 9,574; 8,541;K0
  0,590038; 10,785363;   185; 8,53;  11,74; 9,211; 8,555;F8
